,País,Moneda,Margen Interés con Cliente,Costo de Hedging,Proxy,Utilidad antes de Impuestos,Utilidad Después de Impuestos,Utilidad Ajustada Riesgo,Ranking Credito,loan_margin_percentage,Impuesto Corporativo,Tasa de Inflación,Tasa Base Préstamo,Tasa Préstamo Total
36,Barbados,bbd,4.0,-2.556678097200695,Forward Rate,6.5566780972006935,6.196060801854656,0.0848775452308856,28,6.0,5.5,0.4,2.0,8.0
24,Emiratos Árabes Unidos,aed,1.5999999999999988,-0.1068531841916901,Forward Rate,1.7068531841916887,1.553236397614437,0.1412033088740397,90,6.0,9.0,2.89,4.4,10.4
105,Hungría,huf,-0.5000000000000004,2.3981964686485413,Forward Rate,-2.8981964686485417,-2.6373587864701733,-0.0613339252667482,58,6.0,9.0,5.5,6.5,12.5
49,Bulgaria,bgn,3.18,0.6773127005845879,Forward Rate,2.5026872994154115,2.2524185694738703,0.0563104642368467,61,6.0,10.0,3.7,2.82,8.82
61,Bosnia-Herzegovina,bam,1.9199999999999997,-0.7797310460031709,Forward Rate,2.6997310460031705,2.4297579414028534,0.0328345667757142,27,6.0,10.0,2.2,4.08,10.08
84,Paraguay,pyg,0.0,0.7736982502152493,Forward Rate,-0.7736982502152493,-0.6963284251937244,-0.0139265685038744,51,6.0,10.0,3.8,6.0,12.0
88,Macedonia,mkd,0.6500000000000006,1.8278527172615728,Forward Rate,-1.177852717261572,-1.0600674455354149,-0.0189297758131324,45,6.0,10.0,4.9,5.35,11.35
15,Catar,qar,0.9000000000000008,-2.716167764182291,Forward Rate,3.616167764182292,3.2545509877640626,0.250350075981851,88,6.0,10.0,0.24,5.1,11.099999999999998
107,Moldavia,mdl,-0.5000000000000004,5.753590460938936,Forward Rate,-6.253590460938936,-5.503159605626264,-0.0724099948108718,25,6.0,12.0,9.1,6.5,12.5
16,Macao,mop,1.2499999999999998,-2.3874985773246733,Forward Rate,3.637498577324673,3.2009987480457123,0.2286427677175508,87,6.0,12.0,0.57,4.75,10.75
