country,interest_yield
united_kingdom,4.577
germany,2.487
russia,15.67
italy,3.569
france,3.236
switzerland,0.536
turkey,26.18
finland,2.803
lithuania,3.21
netherlands,2.685
norway,3.984
poland,5.825
portugal,3.007
romania,7.48
slovakia,3.37
slovenia,2.991
spain,3.16
sweden,2.282
greece,3.324
hungary,6.71
iceland,6.894
ireland,2.784
austria,2.906
belgium,3.076
croatia,3.115
czech_republic,4.099
denmark,2.212
eurozone,3.06
united_states,4.444
brazil,14.665
canada,3.105
mexico,9.766
chile,5.99
colombia,11.2
japan,1.428
india,6.755
china,1.812
singapore,2.872
south_korea,2.816
taiwan,1.595
thailand,2.268
vietnam,3.181
hong_kong,3.706
indonesia,6.884
israel,4.273
malaysia,3.834
pakistan,12.596
philippines,6.131
australia,4.502
new_zealand,4.632
south_africa,10.816
zambia,21.894
kenya,13.64
nigeria,19.565
