currency_pair,spot_price,inflation_differential
usd_syp,13000.0,117.0
usd_ttd,6.7396,-2.5
usd_mur,46.139999,-1.1
usd_omr,0.3849,-2.0
usd_mdl,18.530001,6.1
usd_hkd,7.77376,-1.0
usd_amd,392.76001,-1.3
usd_lyd,4.8729,-0.7000000000000002
usd_rub,86.68,6.9
usd_gmd,70.0,7.27
usd_awg,1.79,-2.7
usd_jod,0.7095,-0.7000000000000002
usd_mwk,1717.022949,25.5
usd_vnd,25535.0,0.6299999999999999
usd_bob,6.86,9.03
usd_cve,105.150002,-0.8999999999999999
usd_sgd,1.34088,-1.8
usd_pkr,279.612793,-0.6000000000000001
usd_ugx,3671.100098,0.6000000000000001
usd_egp,50.599998,21.0
usd_bmd,1.0,-1.9
usd_usd,1.0,0
usd_bsd,1.0,-4.0
usd_azn,1.6995,2.4000000000000004
usd_dop,62.16,0.31999999999999984
usd_sar,3.7473,-1.0
usd_vuv,120.739998,2.3
usd_ils,3.5502,0.7999999999999998
usd_mga,4702.450195,4.8
usd_isk,138.25,1.5999999999999996
usd_uyu,42.606998,2.05
usd_bbd,2.0,-2.6
usd_zmw,28.360001,13.7
usd_xaf,625.440002,2.0
usd_xaf,625.440002,4.0
usd_xaf,625.440002,-1.2
usd_xaf,625.440002,-0.5
usd_xaf,625.440002,-2.3
usd_kyd,0.82,-1.3
usd_mad,9.9095,-1.0
usd_crc,503.059998,-1.86
usd_pgk,4.0667,-3.9
usd_tnd,3.1592,3.0
usd_cny,7.2674,-2.5
usd_mnt,3464.649902,6.6
usd_try,36.42654,39.12
usd_mkd,58.439999,1.9000000000000004
usd_clp,941.190002,1.9000000000000004
usd_byn,3.27,2.2
usd_kgs,87.424698,3.7
usd_mzn,63.259998,1.6900000000000004
usd_bdt,122.0,6.9399999999999995
usd_aed,3.67228,-0.10999999999999988
usd_szl,18.427299,0.8999999999999999
usd_kes,129.380005,0.2999999999999998
usd_scr,14.3772,-2.0300000000000002
usd_sll,22699.0,10.78
usd_gnf,8610.0,0.10000000000000009
usd_jmd,156.279999,1.7000000000000002
usd_bwp,13.8072,-0.5
usd_bnd,1.3408,-3.4
usd_kwd,0.3082,-0.5
usd_mmk,2093.679932,25.58
usd_bzd,2.0003,-0.3999999999999999
usd_uah,41.735802,9.9
usd_npr,139.504105,2.41
usd_pab,1.0,-3.18
usd_dkk,7.11601,-1.5
usd_gtq,7.7095,-2.01
usd_ngn,1494.910034,21.48
usd_twd,32.793999,-0.33999999999999986
usd_thb,33.880001,-1.68
usd_srd,35.360001,7.1
usd_ghs,15.45,20.5
usd_ves,63.8591,20.58
usd_inr,87.117996,1.3099999999999996
usd_bgn,1.865,0.7000000000000002
usd_nio,36.624298,-0.27
usd_afn,73.355904,-3.8
usd_lak,21562.400391,12.5
usd_uzs,12872.370117,6.800000000000001
usd_htg,130.580002,25.5
usd_iqd,1309.0,-0.10000000000000009
usd_gyd,209.190002,-0.10000000000000009
usd_huf,380.679993,2.5
usd_nad,18.425301,0.20000000000000018
usd_rsd,111.649002,1.5999999999999996
usd_hnl,25.558399,1.2699999999999996
usd_qar,3.64,-2.76
usd_gel,2.8041,-1.0
usd_czk,23.834,-0.20000000000000018
usd_ars,1061.0,81.5
usd_kzt,499.230011,5.9
usd_lkr,295.23999,-7.0
usd_pyg,7929.589844,0.7999999999999998
usd_rwf,1390.689941,2.7
usd_php,57.931999,-0.10000000000000009
usd_bhd,0.3768,-2.5
usd_idr,16382.0,-2.24
usd_dzd,134.050995,-4.5
usd_ron,4.745,2.0
usd_mru,39.790001,-1.9
usd_cop,4102.399902,2.2199999999999998
usd_bam,1.8651,-0.7999999999999998
usd_xof,625.440002,-2.4
usd_xof,625.440002,1.9000000000000004
usd_xof,625.440002,2.7
usd_xof,625.440002,-0.5
usd_xof,625.440002,-1.2
usd_myr,4.4405,-1.3
usd_mvr,15.42,1.7999999999999998
usd_all,94.419998,-1.1
usd_mop,8.0069,-2.43
usd_lbp,89500.0,13.100000000000001
usd_aoa,912.0,23.48
usd_kmf,468.589996,-0.8999999999999999
