country,interbank_rate
japan,0.8
taiwan,1.68
china,1.8
sweden,2.31
thailand,2.4
denmark,2.43
euro_area,2.52
finland,2.52
austria,2.7
belgium,2.7
france,2.7
germany,2.7
italy,2.7
lithuania,2.7
portugal,2.7
slovenia,2.7
ireland,2.74
south_korea,2.96
nepal,3.0
singapore,3.3
new_zealand,3.77
macau,3.8
hong_kong,4.06
united_arab_emirates,4.22
australia,4.34
israel,4.5
norway,4.5
chile,4.92
vietnam,5.3
saudi_arabia,5.52
romania,5.63
bahrain,5.69
poland,5.87
benin,6.2
burkina_faso,6.2
guinea_bissau,6.2
ivory_coast,6.2
jordan,6.35
hungary,6.51
indonesia,6.69
rwanda,6.79
india,7.19
south_africa,7.56
iceland,8.15
colombia,9.49
mongolia,9.67
bangladesh,10.07
mexico,10.28
kenya,10.68
pakistan,11.4
brazil,13.15
russia,19.67
angola,20.62
sierra_leone,26.19
egypt,27.49
nigeria,32.5
argentina,36.1
suriname,45.0
venezuela,59.12
