country,last,previous,rate_of_change,unit,date
ecuador,37.2,36.31,0.8900000000000006,points,2024-12-01
usa,64.7,71.1,6.399999999999992,points,2025-02-01
eurozone,-13.6,-14.2,0.5999999999999996,points,2025-02-01
southkorea,95.2,91.2,4.0,points,2025-02-01
canada,48.6,47.9,0.7000000000000028,points,2025-01-01
switzerland,-29.0,-30.0,1.0,points,2025-01-01
australia,92.2,92.1,0.1000000000000085,points,2025-02-01
japan,35.2,36.2,1.0,points,2025-01-01
newzealand,97.5,90.8,6.700000000000003,points,2024-12-01
uk,-20.0,-22.0,2.0,points,2025-02-01
