currency_pair,spot_price
usd_hnl,25.558399
usd_tnd,3.159200
usd_pab,1.000000
usd_sdg,598.849976
usd_vnd,25535.000000
usd_kmf,468.589996
usd_mkd,58.779999
usd_uah,41.735802
usd_ils,3.555700
usd_scr,14.377200
usd_rwf,1390.689941
usd_aed,3.672200
usd_gel,2.804100
usd_sar,3.747300
usd_mvr,15.420000
usd_mzn,63.259998
usd_top,2.396200
usd_gmd,70.000000
usd_mga,4702.450195
usd_ves,63.859100
usd_iqd,1309.000000
usd_xaf,628.219971
usd_pyg,7929.589844
usd_ghs,15.450000
usd_rsd,111.649002
usd_mop,8.008000
usd_lyd,4.872900
usd_cny,7.267600
usd_huf,383.640015
usd_kwd,0.308200
usd_hkd,7.774910
usd_rub,86.680000
usd_lkr,295.239990
usd_bhd,0.376800
usd_bam,1.873400
usd_jmd,156.279999
usd_all,94.410004
usd_ugx,3671.100098
usd_xof,628.219971
usd_mnt,3464.649902
usd_vuv,120.739998
usd_clp,953.270020
usd_zmw,28.400000
usd_srd,35.360001
usd_mdl,18.530001
usd_jod,0.709500
usd_xcd,2.700000
usd_sgd,1.345070
usd_bwp,13.807200
usd_mad,9.944800
usd_thb,33.970001
usd_qar,3.640000
usd_syp,13000.000000
usd_awg,1.790000
usd_mmk,2093.679932
usd_gyd,209.190002
usd_inr,87.274002
usd_bgn,1.865000
usd_cve,105.150002
usd_crc,503.059998
usd_mur,46.139999
usd_bdt,122.000000
usd_kes,129.380005
usd_uyu,42.606998
usd_dzd,134.356995
usd_npr,139.504105
usd_azn,1.699500
usd_bbd,2.000000
usd_kgs,87.424698
usd_wst,2.816000
usd_nio,36.624298
usd_bnd,1.344600
usd_myr,4.440500
usd_kzt,499.420013
usd_cop,4115.149902
usd_byn,3.270000
usd_php,57.946999
usd_sll,22699.000000
usd_mru,39.790001
usd_uzs,12872.370117
usd_afn,73.355904
usd_dop,62.160000
usd_czk,23.945000
usd_twd,32.816002
usd_szl,18.472799
usd_idr,16382.000000
usd_bob,6.860000
usd_pgk,4.066700
usd_bzd,2.000300
usd_isk,138.250000
usd_aoa,912.000000
usd_ars,1061.500000
usd_gnf,8610.000000
usd_ngn,1494.910034
usd_gtq,7.709500
usd_nad,18.479000
usd_amd,392.760010
usd_omr,0.384900
usd_bsd,1.000000
usd_bmd,1.000000
usd_ron,4.771600
usd_try,36.429001
usd_mwk,1717.022949
usd_ttd,6.739600
usd_egp,50.599998
usd_dkk,7.154810
usd_lbp,89500.000000
usd_lak,21562.400391
usd_usd,1.000000
usd_kyd,0.820000
usd_htg,130.580002
usd_tzs,2569.000000
usd_pkr,279.612793
