country,te
australia,100
canada,100
denmark,100
germany,100
liechtenstein,100
luxembourg,100
netherlands,100
switzerland,100
norway,99
sweden,99
european_union,98
singapore,98
united_states,97
austria,96
finland,96
new_zealand,95
france,90
taiwan,90
united_arab_emirates,90
hong_kong,88
ireland,88
qatar,88
belgium,87
isle_of_man,87
macau,87
united_kingdom,87
south_korea,86
cayman_islands,85
czech_republic,85
kuwait,81
estonia,80
saudi_arabia,80
bermuda,78
china,78
japan,77
iceland,76
lithuania,76
slovenia,76
malta,75
slovakia,75
chile,73
israel,73
latvia,72
poland,71
portugal,71
spain,71
malaysia,68
botswana,67
andorra,66
croatia,66
cyprus,66
thailand,65
italy,62
bulgaria,61
philippines,61
uruguay,61
indonesia,60
peru,60
hungary,58
kazakhstan,58
mexico,58
india,56
aruba,55
colombia,55
mauritius,55
montserrat,55
romania,55
panama,53
greece,51
oman,51
paraguay,51
azerbaijan,50
morocco,50
san_marino,50
trinidad_and_tobago,50
serbia,48
guatemala,46
vietnam,46
brazil,45
georgia,45
macedonia,45
costa_rica,41
dominican_republic,41
ivory_coast,41
south_africa,41
seychelles,40
uzbekistan,40
armenia,38
jamaica,38
jordan,38
albania,37
bahamas,37
honduras,37
namibia,37
benin,36
turkey,36
bangladesh,35
fiji,35
montenegro,35
senegal,35
turkmenistan,35
bahrain,33
rwanda,33
tanzania,32
mongolia,31
cambodia,30
lesotho,30
nicaragua,30
zambia,30
barbados,28
uganda,28
bosnia_and_herzegovina,27
cape_verde,27
kyrgyzstan,27
papua_new_guinea,27
tajikistan,27
togo,27
angola,25
chad,25
madagascar,25
moldova,25
solomon_islands,25
st_vincent_and_the_grenadines,25
swaziland,25
cameroon,23
egypt,23
gabon,23
iraq,23
kenya,23
nigeria,23
congo,22
maldives,22
el_salvador,21
tunisia,21
belize,20
burkina_faso,20
ecuador,20
mozambique,18
republic_of_the_congo,18
bolivia,16
pakistan,16
suriname,16
ethiopia,15
laos,15
mali,15
niger,15
russia,14
argentina,13
belarus,11
ghana,11
sri_lanka,11
ukraine,11
venezuela,11
lebanon,8
cuba,5
puerto_rico,0
